+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| Gaza-strophe, Palestine                                                                                              | 8.0    |
| Goblini - Ima Nas Gomila                                                                                             | 8.0    |
| Greening the Revolution                                                                                              | 8.0    |
| Guns, Drugs and Dirty Money                                                                                          | 8.0    |
| Huellas y memoria de Jorge Preloran                                                                                  | 8.0    |
| I Am Kalam                                                                                                           | 8.0    |
| I Saw Giraffes in India                                                                                              | 8.0    |
| Julius Caesar                                                                                                        | 8.0    |
| Karma Road                                                                                                           | 8.0    |
| Kenny Chesney: Summer in                                                                                             | 8.0    |
| Killing Us Softly 4: Advertising's Image of Women                                                                    | 8.0    |
| Kuklalar                                                                                                             | 8.0    |
| Leader                                                                                                               | 8.0    |
| Leave Them Laughing                                                                                                  | 8.0    |
| Leo in the City                                                                                                      | 8.0    |
| Maids and Bosses                                                                                                     | 8.0    |
| Marilyn Monroe - Tod einer Ikone                                                                                     | 8.0    |
| Mark                                                                                                                 | 8.0    |
| Mumbai Pune Mumbai                                                                                                   | 8.0    |
| My Name Is Khan                                                                                                      | 8.0    |
| Our Newspaper                                                                                                        | 8.0    |
| Outrageus Office                                                                                                     | 8.0    |
| Passenger Pigeons                                                                                                    | 8.0    |
| Power and Control: Domestic Violence in America                                                                      | 8.0    |
| Pushin' Up Daisies                                                                                                   | 8.0    |
| Romans d'ados 2002-2008: 2. La crise                                                                                 | 8.0    |
| Sanya and the Sparrow                                                                                                | 8.0    |
| School Master                                                                                                        | 8.0    |
| Scratching the Surface                                                                                               | 8.0    |
| Seguir siendo: Café Tacvba                                                                                           | 8.0    |
| Seizing Justice: The Greensboro 4                                                                                    | 8.0    |
| Shakti Pirakkudhu                                                                                                    | 8.0    |
| Spare Change                                                                                                         | 8.0    |
| Swayamsiddha                                                                                                         | 8.0    |
| Takedowns and Falls                                                                                                  | 8.0    |
| Teacher Irena                                                                                                        | 8.0    |
| Tears of Gaza                                                                                                        | 8.0    |
| The Adventists                                                                                                       | 8.0    |
| The Aurora Monsters: The Model Craze That Gripped the World                                                          | 8.0    |
| The Busters - Eine Band für die Ewigkeit                                                                             | 8.0    |
| The Cedar's Tears                                                                                                    | 8.0    |
| The Chilean Building                                                                                                 | 8.0    |
| The Cost of Living                                                                                                   | 8.0    |
| The Enid: Live at Town Hall, Birmingham                                                                              | 8.0    |
| The Holy Wives                                                                                                       | 8.0    |
| The King's Speech                                                                                                    | 8.0    |
| The Last Play at Shea                                                                                                | 8.0    |
| The Last Shot                                                                                                        | 8.0    |
| The Last Steamship: The Search for the SS City of Medicine Hat                                                       | 8.0    |
| The Light Bulb Conspiracy                                                                                            | 8.0    |
| The Long Goodbye                                                                                                     | 8.0    |
| The Mulberry Tree                                                                                                    | 8.0    |
| The Officer's Wife                                                                                                   | 8.0    |
| The Sheffield Affair                                                                                                 | 8.0    |
| The Very Worst Thing                                                                                                 | 8.0    |
| Togetherness Supreme                                                                                                 | 8.0    |
| Vakondok                                                                                                             | 8.0    |
| Vinnaithaandi Varuvaayaa                                                                                             | 8.0    |
| Wasted on the Young                                                                                                  | 8.0    |
| We Still Live Here: Âs Nutayuneân                                                                                    | 8.0    |
| When I Rise                                                                                                          | 8.0    |
| 48                                                                                                                   | 7.9    |
| A Dance for Grace                                                                                                    | 7.9    |
| A Fight for Survival                                                                                                 | 7.9    |
| A Worthy Gentleman                                                                                                   | 7.9    |
| Afghan Hound                                                                                                         | 7.9    |
| Ascent to the Sky                                                                                                    | 7.9    |
| Ash                                                                                                                  | 7.9    |
| Ateik i ayeik                                                                                                        | 7.9    |
| Athlete                                                                                                              | 7.9    |
| Baby Alligators                                                                                                      | 7.9    |
| Backyard                                                                                                             | 7.9    |
| Ballhawks                                                                                                            | 7.9    |
| Because We Are Visual                                                                                                | 7.9    |
| Bill Cunningham: New York                                                                                            | 7.9    |
| Bridge                                                                                                               | 7.9    |
| Chandrayaan                                                                                                          | 7.9    |
| Christina                                                                                                            | 7.9    |
| Chronicles of Agony                                                                                                  | 7.9    |
| Cielo senza terra                                                                                                    | 7.9    |
| Country School: One Room - One Nation                                                                                | 7.9    |
| Daybreak                                                                                                             | 7.9    |
| Deep Green                                                                                                           | 7.9    |
| Dem Himmel ganz nah                                                                                                  | 7.9    |
| Disfarmer: A Portrait of America                                                                                     | 7.9    |
| Dish: Women, Waitressing & the Art of Service                                                                        | 7.9    |
| Don't Mess with the IRS                                                                                              | 7.9    |
| Dores & Amores                                                                                                       | 7.9    |
| Ei voor later                                                                                                        | 7.9    |
| Electric Mind                                                                                                        | 7.9    |
| En los pasos de Abraham                                                                                              | 7.9    |
| Everywhere and Nowhere                                                                                               | 7.9    |
| Faux                                                                                                                 | 7.9    |
| Fiberglass and Megapixels                                                                                            | 7.9    |
| Five No Budget Films                                                                                                 | 7.9    |
| Five Ways to Dario                                                                                                   | 7.9    |
| Focus: A Documentary                                                                                                 | 7.9    |
| Ghost Blues: The Story of Rory Gallagher                                                                             | 7.9    |
| Gobeklitepe: The World's First Temple                                                                                | 7.9    |
| Hypothesis                                                                                                           | 7.9    |
| Il corridore                                                                                                         | 7.9    |
| Impunity                                                                                                             | 7.9    |
| Interno                                                                                                              | 7.9    |
| Kecoh Betul                                                                                                          | 7.9    |
| King Me                                                                                                              | 7.9    |
| La rizière                                                                                                           | 7.9    |
| Late December                                                                                                        | 7.9    |
| Lessons of the Blood                                                                                                 | 7.9    |
| Light the Wick                                                                                                       | 7.9    |
| Love Shines                                                                                                          | 7.9    |
| Lunatics, Lovers & Poets                                                                                             | 7.9    |
| Master Qi and the Monkey King                                                                                        | 7.9    |
| Mixture of Arts with Saytue Saye                                                                                     | 7.9    |
| Moner Manush                                                                                                         | 7.9    |
| Moves                                                                                                                | 7.9    |
| Mujeres republicanas                                                                                                 | 7.9    |
| My American Exodus                                                                                                   | 7.9    |
| Mysteries of the Jesus Prayer                                                                                        | 7.9    |
| N.A.S.A.: The Spirit of Apollo                                                                                       | 7.9    |
| Never Feed the Troll                                                                                                 | 7.9    |
| Night Music                                                                                                          | 7.9    |
| No Distance Left to Run                                                                                              | 7.9    |
| No Fun City                                                                                                          | 7.9    |
| Ocean State                                                                                                          | 7.9    |
| One Year                                                                                                             | 7.9    |
| Opal                                                                                                                 | 7.9    |
| Paper Ketchup                                                                                                        | 7.9    |
| Paul Kalkbrenner 2010 a Live Documentary                                                                             | 7.9    |
| Position Among the Stars                                                                                             | 7.9    |
| Postales                                                                                                             | 7.9    |
| Reminiscences                                                                                                        | 7.9    |
| Rock'n'roll... Of Corse!                                                                                             | 7.9    |
| Rockin' the Wall                                                                                                     | 7.9    |
| Salvage Dream                                                                                                        | 7.9    |
| Seeking Happily Ever After                                                                                           | 7.9    |
| Shukno Lanka                                                                                                         | 7.9    |
| Simanto Periye                                                                                                       | 7.9    |
| Songs from the Nickel                                                                                                | 7.9    |
| Steam of Life                                                                                                        | 7.9    |
| Strangers Lovers Killers                                                                                             | 7.9    |
| Summer Pasture                                                                                                       | 7.9    |
| Table for Six                                                                                                        | 7.9    |
| Tanah Air Beta                                                                                                       | 7.9    |
| The Art of Power                                                                                                     | 7.9    |
| The Art of Women                                                                                                     | 7.9    |
| The Ball                                                                                                             | 7.9    |
| The Crab                                                                                                             | 7.9    |
| The Electroscheme                                                                                                    | 7.9    |
| The Misunderstood Epidemic: Depression                                                                               | 7.9    |
| The New Recruits                                                                                                     | 7.9    |
| The Protector                                                                                                        | 7.9    |
| The Rendezvous                                                                                                       | 7.9    |
| The Revelation of the Pyramids                                                                                       | 7.9    |
| To Catch a Dollar: Muhammad Yunus Banks on America                                                                   | 7.9    |
| Tony Tag Makes It to Hollywood                                                                                       | 7.9    |
| Top Hero                                                                                                             | 7.9    |
| Tow                                                                                                                  | 7.9    |
| Turning Point                                                                                                        | 7.9    |
| Un sueño en la piel                                                                                                  | 7.9    |
| Village Without Women                                                                                                | 7.9    |
| Waste Land                                                                                                           | 7.9    |
| What is the Electric Car?                                                                                            | 7.9    |
| Whittle: The Jet Pioneer                                                                                             | 7.9    |
| Who Is Alvin Greene?                                                                                                 | 7.9    |
| Wildnis Schweiz                                                                                                      | 7.9    |
| Wo ai ni mommy                                                                                                       | 7.9    |
| Wolfram, a Saliva do Lobo                                                                                            | 7.9    |
| Woody Island                                                                                                         | 7.9    |
| Yume                                                                                                                 | 7.9    |
| 50/50                                                                                                                | 7.8    |
| A Backyard Story                                                                                                     | 7.8    |
| A Good Day to Die                                                                                                    | 7.8    |
| A Million Spokes                                                                                                     | 7.8    |
| ANPO: Art X War                                                                                                      | 7.8    |
| Aaya sawant jhoom ke                                                                                                 | 7.8    |
| Accidental Icon: The Real Gidget Story                                                                               | 7.8    |
| Aisheen (Still Alive in Gaza)                                                                                        | 7.8    |
| Alex Ovechkin: The Gr8                                                                                               | 7.8    |
| Ang paglilitis ni Andres Bonifacio                                                                                   | 7.8    |
| Annabelle & Bear                                                                                                     | 7.8    |
| Arnaldo Antunes - Ao Vivo Lá em Casa                                                                                 | 7.8    |
| Arquitetos do Poder                                                                                                  | 7.8    |
| August Light: Wilson's Creek and the Battle for Missouri                                                             | 7.8    |
| Auk nr 8                                                                                                             | 7.8    |
| Banaras Me                                                                                                           | 7.8    |
| Bardsongs                                                                                                            | 7.8    |
| Battle of Britain: The Real Story                                                                                    | 7.8    |
| Beautiful Darling                                                                                                    | 7.8    |
| Bedankt & Merci                                                                                                      | 7.8    |
| Between Life and Death                                                                                               | 7.8    |
| Beyond the Chair                                                                                                     | 7.8    |
| Blue Meridian                                                                                                        | 7.8    |
| Burial Boys                                                                                                          | 7.8    |
| Cape Town Soup                                                                                                       | 7.8    |
| Celine: Through the Eyes of the World                                                                                | 7.8    |
| Cinema Komunisto                                                                                                     | 7.8    |
| Concrete Pharaohs                                                                                                    | 7.8    |
| Confession                                                                                                           | 7.8    |
| Consolation                                                                                                          | 7.8    |
| Cornhole: The Movie                                                                                                  | 7.8    |
| Crayon                                                                                                               | 7.8    |
| Creating the World of Harry Potter, Part 4: Sound and Music                                                          | 7.8    |
| Cruz Reynoso: Sowing the Seeds of Justice                                                                            | 7.8    |
| Culpables de inocencia                                                                                               | 7.8    |
| Curse of the Shaolin                                                                                                 | 7.8    |
| Der Taktstock                                                                                                        | 7.8    |
| Dessine-toi...                                                                                                       | 7.8    |
| Dreaming Film                                                                                                        | 7.8    |
| El rati horror show                                                                                                  | 7.8    |
| Et raadhus til alvor og fest                                                                                         | 7.8    |
| Fire in Babylon                                                                                                      | 7.8    |
| Florida Road                                                                                                         | 7.8    |
| Fortune Teller                                                                                                       | 7.8    |
| Freedom Riders                                                                                                       | 7.8    |
| Global Citizens: The Movie                                                                                           | 7.8    |
| Grant Morrison: Talking With Gods                                                                                    | 7.8    |
| Green                                                                                                                | 7.8    |
| Herederos de la revolución                                                                                           | 7.8    |
| Hollywood Don't Surf!                                                                                                | 7.8    |
| Hopeville                                                                                                            | 7.8    |
| How the Fire Fell                                                                                                    | 7.8    |
| I Do, I Don't                                                                                                        | 7.8    |
| I Saw the Devil                                                                                                      | 7.8    |
| In the Matter of Cha Jung Hee                                                                                        | 7.8    |
| Is Everybody Happy?                                                                                                  | 7.8    |
| JLS: Only Tonight - Live from London                                                                                 | 7.8    |
| Jean-Michel Basquiat: The Radiant Child                                                                              | 7.8    |
| Jeans, une planète en bleu                                                                                           | 7.8    |
| Journey on the Wild Coast                                                                                            | 7.8    |
| Keepers of the Light                                                                                                 | 7.8    |
| Kick in Iran                                                                                                         | 7.8    |
| Komoly dolgok                                                                                                        | 7.8    |
| La Bohème                                                                                                            | 7.8    |
| La lucha de San Borja                                                                                                | 7.8    |
| Legends of the Canyon: The Origins of West Coast Rock                                                                | 7.8    |
| Lemmy                                                                                                                | 7.8    |
| Life                                                                                                                 | 7.8    |
| Life in a day                                                                                                        | 7.8    |
| Lost Journey                                                                                                         | 7.8    |
| Love Sick Diaries                                                                                                    | 7.8    |
| Loving Lampposts                                                                                                     | 7.8    |
| Loving Sophia                                                                                                        | 7.8    |
| Madrasapattinam                                                                                                      | 7.8    |
| Maria Costa's Macho Men and the Women Who Love Them                                                                  | 7.8    |
| Mastermind                                                                                                           | 7.8    |
| MetaMoebius                                                                                                          | 7.8    |
| Mila trazi Senidu                                                                                                    | 7.8    |
| Moment of Truth: The Andy Meyers Story                                                                               | 7.8    |
| Most Valuable Players                                                                                                | 7.8    |
| Mughal-E-Azam                                                                                                        | 7.8    |
| Music                                                                                                                | 7.8    |
| New York Memories                                                                                                    | 7.8    |
| Non Compos Mentis                                                                                                    | 7.8    |
| On the Streets                                                                                                       | 7.8    |
| Only Yours                                                                                                           | 7.8    |
| Orr Eravuu                                                                                                           | 7.8    |
| Pink Halo-Halo                                                                                                       | 7.8    |
| Poetry                                                                                                               | 7.8    |
| Portrait of the Fighter as a Young Man                                                                               | 7.8    |
| Prithvi                                                                                                              | 7.8    |
| Prokletstvo Krumpira                                                                                                 | 7.8    |
| Railed Up and Wrecked                                                                                                | 7.8    |
| Refrains Happen Like Revolutions in a Song                                                                           | 7.8    |
| Reggie Chartrand, patriote québécois                                                                                 | 7.8    |
| Remembering Playland at the Beach                                                                                    | 7.8    |
| Rock On                                                                                                              | 7.8    |
| Romans d'ados 2002-2008: 4. Adultes mais pas trop...                                                                 | 7.8    |
| Sa Sasucha                                                                                                           | 7.8    |
| Schooling the World                                                                                                  | 7.8    |
| Secondo tempo                                                                                                        | 7.8    |
| Semshook                                                                                                             | 7.8    |
| Senior Year                                                                                                          | 7.8    |
| Spanish Hollywood                                                                                                    | 7.8    |
| Station House                                                                                                        | 7.8    |
| Strange Angel                                                                                                        | 7.8    |
| Supériorité                                                                                                          | 7.8    |
| The 4th Wall                                                                                                         | 7.8    |
| The Awkward Comedy Show                                                                                              | 7.8    |
| The Day the World Turned Dayglo                                                                                      | 7.8    |
| The Dolphins of Shark Bay                                                                                            | 7.8    |
| The Fighter                                                                                                          | 7.8    |
| The Fighter's Ballad                                                                                                 | 7.8    |
| The Great American Moon Rock Caper                                                                                   | 7.8    |
| The Man from Nowhere                                                                                                 | 7.8    |
| The One True Thing                                                                                                   | 7.8    |
| The Peddler                                                                                                          | 7.8    |
| The Pink Wall                                                                                                        | 7.8    |
| The Promise: The Making of Darkness on the Edge of Town                                                              | 7.8    |
| The Secret Philosophy                                                                                                | 7.8    |
| The Silent Epidemic                                                                                                  | 7.8    |
| The Street Stops Here                                                                                                | 7.8    |
| The Tempest                                                                                                          | 7.8    |
| Three Stories of Galicia                                                                                             | 7.8    |
| True Stories: The Trials of Amanda Knox                                                                              | 7.8    |
| Uma Noite em 67                                                                                                      | 7.8    |
| Una Beatle                                                                                                           | 7.8    |
| Untouchable                                                                                                          | 7.8    |
| Vida Sobre Rodas                                                                                                     | 7.8    |
| Video Nasties: Moral Panic, Censorship & Videotape                                                                   | 7.8    |
| Voices Unbound: The Story of the Freedom Writers                                                                     | 7.8    |
| Von der Liebe und den Zwängen: Mutmaßungen über Fassbinders 'Ich will doch nur, daß ihr mich liebt'                  | 7.8    |
| Wastings & Pain                                                                                                      | 7.8    |
| Water Makes Money                                                                                                    | 7.8    |
| Where My Heart Beats                                                                                                 | 7.8    |
| Who Pays the Hitman                                                                                                  | 7.8    |
| Winds of Heaven                                                                                                      | 7.8    |
| Wishes Fulfilled! an Exclusive Cinema Event with Dr. Wayne W. Dyer                                                   | 7.8    |
| Wohti Le Kay Jani Aay                                                                                                | 7.8    |
| Wolf at the Door                                                                                                     | 7.8    |
| World's Largest                                                                                                      | 7.8    |
| 93: La belle rebelle                                                                                                 | 7.7    |
| A Hand Full of Dirt                                                                                                  | 7.7    |
| Afghanistan                                                                                                          | 7.7    |
| An African Journey with Jonathan Dimbleby                                                                            | 7.7    |
| Andy Paris: Bubblegum King                                                                                           | 7.7    |
| Apaporis: In Search of One River                                                                                     | 7.7    |
| Aquí me quedo                                                                                                        | 7.7    |
| Athmakadha                                                                                                           | 7.7    |
| Bad Writing                                                                                                          | 7.7    |
| Band on the Search                                                                                                   | 7.7    |
| Bhutto                                                                                                               | 7.7    |
| Bleed                                                                                                                | 7.7    |
| Bright Day!                                                                                                          | 7.7    |
| California Dreaming                                                                                                  | 7.7    |
| Call of Life                                                                                                         | 7.7    |
| Camera Obscura                                                                                                       | 7.7    |
| Cameraman: The Life and Work of Jack Cardiff                                                                         | 7.7    |
| Cavaliers seuls                                                                                                      | 7.7    |
| Chasing Legends                                                                                                      | 7.7    |
| Chercher le courant                                                                                                  | 7.7    |
| Child of Giants                                                                                                      | 7.7    |
| Colossi of Love                                                                                                      | 7.7    |
| Confessions                                                                                                          | 7.7    |
| Corporate Fascism: The Destruction of America's Middle Class                                                         | 7.7    |
| Days for Amanda                                                                                                      | 7.7    |
| Dirty Martini and the New Burlesque                                                                                  | 7.7    |
| Ennui                                                                                                                | 7.7    |
| Five Years Later                                                                                                     | 7.7    |
| Flipped                                                                                                              | 7.7    |
| Folk!                                                                                                                | 7.7    |
| Football Manager: More Than Just a Game                                                                              | 7.7    |
| Footsteps                                                                                                            | 7.7    |
| Francesco Nuti... e vengo da lontano                                                                                 | 7.7    |
| Gauguin à Tahiti et aux Marquises                                                                                    | 7.7    |
| Gintama: The Movie                                                                                                   | 7.7    |
| Gretchen Road Movie                                                                                                  | 7.7    |
